CNPJ: 59.234.834/0001-04;J L SILVA TAVARES LTDA
DATA;CODIGO DA TRANSACAO;DESCRICAO;CONTA;VALOR;SALDO
23/01/2026 08:46:39;4014DD8C-C0AA-41D4-9B50-66508BE26FC3;Pagamento de PIX do PagBank a receber;A receber;500,00
23/01/2026; ;Saldo agregado do dia;A receber; ;0,00
26/01/2026 16:11:27;1F7BBF03-3E5A-46F7-946D-0782221FCADD;Liberação de saldo em conta corrente;Disponível;-386,14
26/01/2026 16:11:27;1F7BBF03-3E5A-46F7-946D-0782221FCADD;Pagamento liberado.;Disponível;386,14
26/01/2026; ;Saldo agregado do dia;Disponível; ;0,00
26/01/2026 16:14:28;1F7BBF03-3E5A-46F7-946D-0782221FCADD;Pagamento liberado;A receber;-386,14
26/01/2026 16:11:28;1F7BBF03-3E5A-46F7-946D-0782221FCADD;Taxa de intermediação;A receber;-3,86
26/01/2026 16:11:25;1F7BBF03-3E5A-46F7-946D-0782221FCADD;Pagamento de PIX do PagBank a receber;A receber;390,00
26/01/2026; ;Saldo agregado do dia;A receber; ;0,00
28/01/2026 10:02:24;2BAC9692-9BFD-49A0-8D6F-B36934ECC047;Liberação de saldo em conta corrente;Disponível;-1,98
28/01/2026 10:02:24;2BAC9692-9BFD-49A0-8D6F-B36934ECC047;Pagamento liberado.;Disponível;1,98
28/01/2026 09:38:59;81695C4C-EE46-4ED6-8AE8-A312F6CD254A;Liberação de saldo em conta corrente;Disponível;-1,98
28/01/2026 09:38:59;81695C4C-EE46-4ED6-8AE8-A312F6CD254A;Pagamento liberado.;Disponível;1,98
28/01/2026 08:43:12;858BDE28-AB82-4599-9536-A1FCAF31C841;Liberação de saldo em conta corrente;Disponível;-214,85
28/01/2026 08:43:12;858BDE28-AB82-4599-9536-A1FCAF31C841;Pagamento liberado.;Disponível;214,85
28/01/2026 08:31:15;3E2E358B-62AD-4008-9AB8-37E650490EE9;Liberação de saldo em conta corrente;Disponível;-4,95
28/01/2026 08:31:15;3E2E358B-62AD-4008-9AB8-37E650490EE9;Pagamento liberado.;Disponível;4,95
28/01/2026; ;Saldo agregado do dia;Disponível; ;0,00
28/01/2026 10:05:27;2BAC9692-9BFD-49A0-8D6F-B36934ECC047;Pagamento liberado;A receber;-1,98
28/01/2026 10:02:25;2BAC9692-9BFD-49A0-8D6F-B36934ECC047;Taxa de intermediação;A receber;-0,02
28/01/2026 10:02:21;2BAC9692-9BFD-49A0-8D6F-B36934ECC047;Pagamento de PIX do PagBank a receber;A receber;2,00
28/01/2026 09:42:05;81695C4C-EE46-4ED6-8AE8-A312F6CD254A;Pagamento liberado;A receber;-1,98
28/01/2026 09:38:58;81695C4C-EE46-4ED6-8AE8-A312F6CD254A;Taxa de intermediação;A receber;-0,02
28/01/2026 09:38:56;81695C4C-EE46-4ED6-8AE8-A312F6CD254A;Pagamento de PIX do PagBank a receber;A receber;2,00
28/01/2026 08:46:27;858BDE28-AB82-4599-9536-A1FCAF31C841;Pagamento liberado;A receber;-214,85
28/01/2026 08:43:12;858BDE28-AB82-4599-9536-A1FCAF31C841;Taxa de intermediação;A receber;-2,15
28/01/2026 08:43:10;858BDE28-AB82-4599-9536-A1FCAF31C841;Pagamento de PIX do PagBank a receber;A receber;217,00
28/01/2026 08:34:16;3E2E358B-62AD-4008-9AB8-37E650490EE9;Pagamento liberado;A receber;-4,95
28/01/2026 08:31:14;3E2E358B-62AD-4008-9AB8-37E650490EE9;Taxa de intermediação;A receber;-0,05
28/01/2026 08:31:14;3E2E358B-62AD-4008-9AB8-37E650490EE9;Pagamento de PIX do PagBank a receber;A receber;5,00
28/01/2026; ;Saldo agregado do dia;A receber; ;0,00
